"","...analysis.STAR_assembly_Gencode.TeissandierMulti.AD_3501Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.AD_5601Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.AG_3501Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.AG_3502Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.AG_5601Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.AG_5602Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.AG_D35Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.G_3501Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.G_5601Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.GIBCO_D35Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.T_3501Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.T_3502Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.T_5601Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.T_5602Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.TCLAB_D35Aligned.sortedByCoord.out.bam"
"WNK2",-0.4623907,-0.3522774,-0.5557324,-0.4218911,-0.297155,0.1422847,0.2863898,-0.0348979,0.6875642,0.2409935,-0.005987225,-0.2053588,0.1327072,0.8576794,-0.01192846
"C9orf129",-0.3235628,0.2045324,-1.281877,-0.4185567,-1.105204,1.191474,-0.543097,-0.7260879,1.681121,0.09182595,-0.6094698,-0.1107181,1.371063,1.358214,-0.7796567
"FAM120AOS",0.2057081,0.006613428,0.207893,0.1986407,0.04714891,0.03866154,-0.1995049,0.1654951,-0.2134313,-0.2824234,0.2441311,-0.3014022,-0.08872052,0.4210894,-0.449899
"FAM120A",0.02692198,0.483825,-0.06546721,-0.0127775,0.4607981,0.02806953,0.039162,-0.4745881,-0.2706008,-0.04873644,-0.1118973,-0.09247985,0.2286101,-0.1261581,-0.06468136
"ENSG00000289031",-0.0542468,-0.9188462,0.705549,-0.1277743,-1.152768,-0.2036662,0.3438441,0.4624935,-0.8908974,-0.3911432,0.00870832,1.603122,-0.2140344,0.2274514,0.6022091
"PHF2",-0.07502933,-0.04030302,-0.2946829,-0.1495733,-0.1721837,-0.06217995,-0.06506444,0.3514418,0.10654,-0.1671961,0.02125441,-0.187493,0.05808886,0.5540023,0.1223784
"PTPDC1",-0.05772694,-0.6580655,0.2414932,0.1538388,-0.05202091,-0.02761356,0.3355738,-0.1657788,0.02119677,0.4979976,-0.09679049,0.1204907,-0.3525251,-0.4359121,0.4758425
"CYCSP24",0.228134,-0.8366063,0.4127918,-0.3141361,-0.5291017,-0.39605,0.2371887,0.1707694,0.8370966,0.5850826,0.08720522,0.506661,-0.6030987,-0.8057684,0.4198316
"MIRLET7A1HG",0.315384,-0.3954678,0.4668725,-0.01550671,-0.666816,-0.644268,0.2709107,0.1420008,-0.5082396,0.6594043,0.2090277,0.4695512,-0.5287487,-0.2588565,0.4847521
"ZNF169",0.02723117,-0.7093057,0.2066185,-0.2181856,-0.5926582,-0.2695407,0.2921544,0.08036668,-0.04758525,0.6705495,0.305552,0.1516613,-0.3340528,0.03858294,0.3986116
"MFSD14B",0.09706928,0.4320485,0.02007308,0.01924437,0.1384034,-0.1993226,0.3351308,-0.2717557,-0.2277167,-0.2553572,-0.130695,-0.1611591,0.1716642,-0.01400613,0.04637882
"PCAT7",-0.9466492,-1.45828,0.6904232,1.019308,0.05172172,0.3198315,0.4441901,1.708743,0.9707521,1.409377,-0.9201958,-0.7134087,-1.104979,-0.696779,-0.7740557
"AOPEP",0.3105812,-0.01296315,0.8467279,0.4490475,0.08012067,-0.08310369,-0.01498017,-0.2613901,-0.3807198,0.1790718,0.2466343,0.317599,-0.246053,-0.9966008,-0.4339717
"ENSG00000230815",0.1067997,-0.2110486,-0.008298574,0.2668857,0.1222835,-0.2164323,0.5987773,-0.09084269,-0.2499517,0.9269891,0.1363568,0.3254343,-0.1754913,-1.00133,-0.5301312
"ENSG00000236095",0.3613949,0.3404768,0.6014171,0.3100164,-0.00270406,-0.008437589,-0.4408479,-0.3812325,0.5943892,0.0837767,0.662556,0.6112511,-0.9721625,-0.6963375,-1.063556
"FANCC",0.2938555,0.09630102,-0.05933727,0.1151839,-0.1889723,-0.3293491,0.4651852,-0.3210904,-0.3415911,0.2988367,0.05288019,-0.1053115,-0.06314736,-0.1391112,0.2256678
"PTCH1",-0.03163997,-1.549513,-0.3464149,-0.1711965,-1.411932,-1.238884,1.077037,0.6914437,-1.45353,2.287553,0.2420359,1.649822,-1.436537,-0.5948262,2.286582
"ENSG00000271155",-0.06959854,-1.29968,0.3805823,0.1351332,-1.2542,-0.7764236,0.7609412,0.2475673,-1.061811,1.721805,0.2624689,-0.09756374,-0.559455,0.04569565,1.564539
"ENSG00000271659",0.4417509,-0.5250291,-0.7298433,0.3046728,-0.536788,-0.3687087,0.8423796,0.1883801,0.5441456,-0.3329724,-0.2458361,0.190327,-0.2732312,0.9768807,-0.476128
"LINC00476",0.6717774,0.4174348,-0.2362363,-0.08349991,0.1237329,0.3101815,-0.587001,0.2122755,1.150565,-0.2226417,-0.08509597,-1.011792,0.4546175,0.7076981,-1.822016
"ERCC6L2",0.03738898,-0.28155,0.05895236,0.08638489,-0.05026154,-0.1340324,0.2956482,-0.1004211,-0.4817069,0.3130644,0.152705,-0.04681696,-0.04441623,-0.05273791,0.2477994
"EIF4BP3",0.4314422,-0.02816754,0.703152,0.5706251,0.2026928,-0.1132995,-0.3342761,0.4147035,-1.13829,-0.6787678,0.100721,0.2343882,-0.1781606,-0.3192975,0.1325336
"SLC35D2",-0.03184543,0.8531422,0.668153,0.7264925,0.7115774,-0.06351794,-0.5273984,-0.07503153,-1.993763,-0.4792009,0.7453831,0.8335685,0.3153175,-1.974593,0.2917156
"ZNF367",0.9146924,0.2326833,0.5572974,0.7911442,-0.9632973,-1.549474,1.269078,-0.3226592,-1.367045,-0.1243805,0.4557687,0.6771187,-0.2997856,-0.8045848,0.5334435
"HABP4",-0.3231146,-0.1960476,-0.3234682,-0.3792479,-0.3304298,-0.1136993,0.1395963,0.2655437,-0.06931709,0.3771929,-0.1277522,0.7633743,-0.2417491,-0.1550325,0.7141509
"CDC14B",0.1636326,0.07357318,0.3115474,0.165616,-0.1075296,-0.0619323,-0.06103822,-0.2641762,-0.01261083,0.2200896,0.01876651,-0.2919644,0.09648823,-0.4204645,0.1700025
"PRXL2C",0.2114333,0.6006596,0.6268988,0.2456488,0.4699097,0.0297614,0.1178123,0.1414435,-1.566303,-0.6196274,0.1767813,0.3092829,-0.1828004,-0.8682047,0.3073041
"ZNF510",0.2222329,-0.291886,0.02468008,0.1136705,-0.3654233,-0.07372005,0.09761141,0.1968562,-0.1525647,-0.08377652,0.2614657,-0.07704913,-0.3318797,0.4184717,0.04131083
"ZNF782",0.2643463,-0.2762346,0.2107262,0.1082731,-0.392092,-0.01837224,-0.2923366,0.1681171,0.6627674,0.1742281,0.1869036,0.2505896,-0.4008239,-0.1284932,-0.517599
"MFSD14C",-0.1331423,-0.3874882,-0.1150967,-0.09778243,-0.02090371,-0.04640707,0.07955679,0.03281092,0.1407993,0.3824194,0.01520781,0.157942,-0.1227867,0.02136128,0.09350957
"CTSV",-0.2265829,0.7202657,0.1340461,-0.04422616,-0.2432734,-1.317262,0.2436593,-0.3492784,2.002746,0.9665387,-0.3992282,0.483208,-0.7254053,-1.000651,-0.2445564
"ANKRD18CP",-0.006404752,1.473812,-1.583223,-1.660815,-0.1385958,0.3214802,-0.8737522,0.9508113,2.117338,1.278396,-0.6039307,-0.4896757,0.6718215,-0.6477256,-0.8095369
"ENSG00000242375",0.3689377,0.3237391,0.1833351,0.1023506,-0.4753937,-0.6909613,0.7995981,0.3751167,1.334409,1.268629,-1.011815,0.1233413,-0.5572019,-2.599285,0.4551994
"ZNF322P1",0.1465586,-0.3491835,-0.1369673,0.1521303,-0.2501134,-0.2778959,0.03117589,0.4473877,-0.6662815,0.2133953,0.100368,0.3404275,-0.3786815,0.05375056,0.5739292
"ENSG00000203279",0.7838346,0.5603322,-0.615836,-0.9646458,-0.8251852,0.09495112,-0.714859,1.074947,1.790572,0.8356729,-1.017848,0.05727912,0.2004599,-0.5896495,-0.6700252
"SUGT1P4-STRA6LP",0.2928576,-0.5169393,0.1751643,-0.2168586,-0.3917601,-0.04570614,-0.3827832,-0.1566467,0.1351089,0.5829057,0.4456295,0.7164144,0.02757697,-0.6101906,-0.05477283
"CCDC180",0.5317684,-0.4476215,0.6059078,0.2185622,-0.8557164,-0.1315937,0.01777774,0.4828692,-0.02729849,0.2700256,0.3491924,0.3958566,-0.4048134,-0.3305928,-0.6743236
"TDRD7",0.4694819,0.8370404,0.1268608,0.3777782,1.010302,0.6715884,0.9479457,-0.2441786,0.8080545,-1.195591,-0.6578248,-1.891375,0.5112989,0.4306159,-2.201998
"TMOD1",0.9763084,-0.09471706,1.42728,2.17686,1.010442,1.418195,-1.032626,0.1567334,-1.103819,-0.9867853,0.3325671,-0.5243375,-0.8653647,-1.400594,-1.490142
"TSTD2",0.004006881,-0.4441739,-0.006314599,0.0308225,-0.3169264,-0.2914213,0.1565958,0.3047979,-0.4193142,0.2090036,0.2710246,0.06093465,-0.3802083,0.3481594,0.4730133
"NCBP1",0.2594188,0.03510982,0.05298939,0.2209238,0.05499304,-0.1436537,0.281596,-0.2822768,-0.4492205,-0.08229852,0.1177193,-0.2264241,-0.01728899,0.1078173,0.07059519
"XPA",0.1421768,-0.7569695,-0.1028854,0.01362397,-0.4016443,-0.1819038,0.3019356,0.2614284,-0.5020717,0.2845487,0.4073052,0.3509717,-0.1122153,-0.06095457,0.3566542
"TRMO",0.1831758,0.4247722,0.03817692,0.1272347,0.04561122,0.1998011,-0.1835413,0.05873132,0.2446826,-0.1004403,0.02859058,-0.2678705,-0.0492202,-0.1806305,-0.5690735
"ENSG00000287070",-0.3682884,0.06620515,1.013301,0.7747722,-1.193647,-1.019557,-0.3512392,1.635051,-0.3906273,-1.005431,0.7259782,1.115272,-0.6650024,-0.7533738,0.4165873
"ANP32B",0.8388637,0.1354772,1.084983,0.9419529,-0.207342,-0.33363,-0.00843227,0.1927264,-1.067093,-0.6803212,0.7597431,0.6159252,-0.4785334,-0.9784692,-0.8158508
"NANS",-0.4399606,0.9584805,-0.02851381,-0.157998,0.702606,0.453563,-0.3089337,-0.569315,0.2596499,-0.7919809,-0.2663541,0.2877093,0.2131335,-0.136695,-0.1753911
"TRIM14",1.473244,0.7160646,1.315936,1.616102,0.6254002,0.8673768,-0.7492084,-0.8392651,-0.7041574,-1.266348,0.3264482,-1.214722,0.1271604,-1.399588,-0.8944439
"CORO2A",1.126442,0.3897172,0.8262593,1.37602,-0.08489691,0.9672171,-1.033048,-0.3242599,0.283236,-1.944337,0.288538,-0.8593213,0.2261241,-0.07031302,-1.167377
"TBC1D2",-0.2049022,-0.2532413,0.1313831,-0.02231931,0.1746404,-0.1826226,0.1480202,0.1811331,0.04803081,-0.1708828,0.4290816,0.1726414,-0.05042128,0.1767557,-0.5772969
"GABBR2",-0.1294308,0.7761964,-0.9708964,-0.1915076,1.165337,1.893201,-1.423692,-0.5613755,1.598946,-1.325878,-0.9426841,-1.434778,1.242302,1.343325,-1.039066
