"","...analysis.STAR_assembly_Gencode.TeissandierMulti.AD_3501Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.AG_3501Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.AG_3502Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.AG_D35Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.G_3501Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.GIBCO_D35Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.T_3501Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.T_3502Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.TCLAB_D35Aligned.sortedByCoord.out.bam"
"ENSG00000279319",-0.625642,-0.05768047,-0.4951969,-0.6097602,-0.3704886,1.180724,0.5564459,0.5979687,-0.1763705
"EPG5",-0.2640247,-0.04174419,-0.3719134,-0.1544002,-0.07944047,0.4145222,-0.1085247,0.3331273,0.2723981
"PSTPIP2",-0.3172239,-0.5904493,-0.7286222,-0.7466934,0.4764304,0.551489,0.05536356,0.673805,0.6259008
"ATP5F1A",-0.1106865,-0.1440565,-0.06304261,0.4252081,-0.1449611,-0.0587867,-0.1382859,-0.2084782,0.4430893
"HAUS1",0.387243,0.1172535,0.4418556,-0.324076,0.04609396,-0.7567135,0.306312,0.3112082,-0.5291767
"C18orf25",-0.1795501,-0.06162533,-0.3140939,-0.08753642,-0.2396002,0.2218789,-0.1975898,0.3371843,0.5209327
"RNF165",-0.09363069,-0.3031291,-0.1338757,-0.3089715,0.4890588,0.1807235,0.1780836,-0.1578189,0.14956
"ENSG00000279829",-0.3828241,-0.1257583,-0.1418834,-0.4873332,-0.1914885,0.2853516,0.4533339,1.187036,-0.5964336
"ST8SIA5",1.851095,1.116923,1.175252,1.587275,-0.8555222,-2.211532,1.408521,-1.930338,-2.141673
"ST8SIA5-DT",0.7109512,1.095208,0.8044957,0.3487501,-0.8852891,-0.2480073,0.8584385,-1.387368,-1.297179
"ENSG00000274776",0.3984402,0.4999789,0.273385,0.4642675,-0.3178579,0.07555256,-0.173999,-0.5354283,-0.6843389
"PIAS2",0.07346686,0.27291,0.1596143,0.37227,-0.3736083,0.056451,-0.06754817,-0.1265102,-0.3670455
"ENSG00000267587",0.4999017,0.3804011,-0.6435819,0.5477671,-0.9555928,0.4294937,-0.2186324,0.1937993,-0.2335557
"KATNAL2",0.6049611,0.4928264,0.3747024,0.5315952,-0.5672552,-1.041114,0.5966986,-0.09391668,-0.898498
"HDHD2",-0.1950704,-0.1950865,0.1407706,0.09370461,-0.1426583,0.1312038,0.08943514,-0.1123962,0.1900973
"IER3IP1",0.07753868,-0.2234179,0.1289462,0.1936703,0.06717496,-0.0259946,-0.2228977,-0.3063204,0.3113004
"SKOR2",2.057038,-0.8268861,0.6154511,-0.2924611,0.03155517,-0.3554608,-0.2010578,-0.9991057,-0.029073
"SMAD2",0.09764439,0.05416709,0.02987325,0.01958245,-0.1642639,0.03161166,-0.03721075,-0.09410792,0.06270371
"ENSG00000279366",0.1099886,-0.2189384,0.3574149,-0.09383047,-0.2195409,-0.2761302,0.2022061,0.500218,-0.3613877
"ZBTB7C",-0.09950821,0.3044872,0.65524,-0.4223393,0.8236552,-0.5838931,0.2281854,-0.5472043,-0.3586227
"CTIF",0.01367316,-0.4070267,-0.1868243,-0.03338117,0.4343942,0.1327583,-0.02600955,-0.1854577,0.2578737
"ENSG00000278983",-0.1574794,0.1344456,-0.9234001,0.1231556,0.0446247,0.6866829,0.2534601,0.04127802,-0.2027675
"SMAD7",-0.1184685,0.06940521,0.1710034,1.315355,-0.3639628,0.0991094,-0.375273,-0.7660069,-0.03116196
"DYM",-0.01578223,0.1006036,0.2056142,0.009574149,0.02642891,-0.01812224,-0.2745563,-0.3486794,0.3149194
"C18orf32",-0.3907124,-0.2747579,-0.20835,-0.5462368,0.3357138,0.2664658,-0.01337816,0.3594433,0.4718123
"ENSG00000263916",-0.551167,0.4543243,-0.4145729,-0.8370366,0.2823306,0.1999277,0.1319287,0.901204,-0.1669388
"RPL17",-0.2270009,0.5337486,-0.2722924,-0.3218125,-0.003286606,0.1767382,-0.4495399,0.471387,0.09205851
"LIPG",-1.024263,-1.196547,-0.9782265,1.052494,-0.6524772,0.9538638,-0.5483406,1.277171,1.116325
"ACAA2",0.3513954,0.2857794,0.486831,0.2752225,-0.1876533,-0.5671238,0.01009506,-0.2337357,-0.4208105
"SNHG22",0.1207124,-0.9018057,-1.155158,0.3958074,-0.4421399,0.8688409,0.3927133,0.8872178,-0.166188
"MYO5B",0.4234176,0.4175099,0.172186,1.002184,0.8283994,-0.8702412,1.009605,-1.178296,-1.804765
"CFAP53",-0.2794959,0.7106637,0.05467996,0.1621451,-0.1601813,-0.3094193,-0.07587246,-0.01034919,-0.09217061
"ENSG00000277310",-0.2800072,0.1803404,0.01891857,-0.0200769,-0.4970018,0.6881927,-0.7838933,0.3317932,0.3617344
"MBD1",-0.1249492,0.006014645,-0.1791169,-0.1021352,0.0940968,0.04851723,-0.004709963,0.1671908,0.09509184
"CXXC1",0.1086762,0.06407296,-0.02164937,0.09396659,-0.04426417,-0.3074499,0.07050619,0.04412749,-0.007986027
"SKA1",0.9024324,0.348954,0.5411166,0.4827146,-1.14466,-0.6146563,0.3329556,-0.2002831,-0.6485736
"MAPK4",-0.1916128,-0.4867507,-0.1566037,0.3521432,0.1156159,0.07031743,-0.07194314,-0.178895,0.5477288
"ME2",-0.0749092,-0.01328186,0.1737173,-0.06379258,0.08581843,-0.07843892,0.005822176,0.04511372,-0.08004911
"ELAC1",0.1019852,0.1102286,0.3454437,0.5054656,-0.2672004,-0.2159814,0.3466723,-0.3669835,-0.5596301
"SMAD4",-0.2979853,-0.2096716,-0.1854757,0.178776,-0.3190446,0.3448972,-0.1731289,0.1163915,0.5452414
"MEX3C",0.03531547,-0.2273398,0.07998634,0.09774153,0.1617738,-0.1327831,0.08234993,-0.2364895,0.1394453
"LINC01630",2.56434,0.8027552,2.06662,-0.7033837,-0.1320333,-1.330669,-0.5150246,-1.156941,-1.595664
"DCC",-0.6201297,-0.7771876,-0.3810293,-0.1774723,0.8693755,0.2496882,1.004606,0.07710587,-0.2449566
"ENSG00000280098",-1.122747,-0.7714287,-0.7771833,0.2383114,-0.828918,1.40982,0.2416951,1.150756,0.4596939
"MBD2",0.9069866,0.2973669,0.5057023,-0.08177067,0.3420155,-0.9620706,0.4011714,-0.697384,-0.7120173
"POLI",-0.0004770232,-0.1198652,-0.248164,0.1992443,-0.04153496,0.3920623,-0.1885227,-0.1602741,0.1675313
"C18orf54",0.1491669,-0.01910202,-0.06853151,0.2472297,-0.7021737,0.1655022,-0.2516087,0.1770625,0.3024546
"RAB27B",0.4546063,-0.3068258,0.3812834,0.2733942,0.3903929,0.3795468,-0.5539298,-2.237954,1.219486
"TCF4",0.4683557,-0.2354368,-0.2652079,0.1119038,-0.4398263,0.1635541,-0.07549954,0.1373168,0.1348402
